ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,l_ipn
2006-08-12,6.023579713019277,4.992402944847069,8.926811813136675,6.023579713019277,6.023579713019277,0.777645102216455,0.777645102216455,0.777645102216455,0.777645102216455,0.777645102216455,0.777645102216455,0.0,0.0,0.0,6.801224815235733,8
2006-08-13,6.04458956558395,3.128680314469803,6.967669094772261,6.04458956558395,6.04458956558395,-1.0490147396710858,-1.0490147396710858,-1.0490147396710858,-1.0490147396710858,-1.0490147396710858,-1.0490147396710858,0.0,0.0,0.0,4.995574825912864,8
2006-08-14,6.065599418148622,5.11958228574002,8.749313551125445,6.065599418148622,6.065599418148622,0.9185856469965883,0.9185856469965883,0.9185856469965883,0.9185856469965883,0.9185856469965883,0.9185856469965883,0.0,0.0,0.0,6.98418506514521,8
2006-08-15,6.086609270713295,3.887558689762256,7.657008367693265,6.086609270713295,6.086609270713295,-0.1916388430045342,-0.1916388430045342,-0.1916388430045342,-0.1916388430045342,-0.1916388430045342,-0.1916388430045342,0.0,0.0,0.0,5.894970427708761,8
2006-08-16,6.1076191232791395,4.239833849607312,7.802919720211937,6.1076191232791395,6.1076191232791395,-0.12403440517443118,-0.12403440517443118,-0.12403440517443118,-0.12403440517443118,-0.12403440517443118,-0.12403440517443118,0.0,0.0,0.0,5.983584718104709,8
2006-08-17,6.128628975844983,4.017249884414355,7.771904120006846,6.128628975844983,6.128628975844983,-0.18643409065896568,-0.18643409065896568,-0.18643409065896568,-0.18643409065896568,-0.18643409065896568,-0.18643409065896568,0.0,0.0,0.0,5.942194885186017,8
2006-08-18,6.149638828416261,4.041609402972999,7.877558967586497,6.149638828416261,6.149638828416261,-0.14510867070218406,-0.14510867070218406,-0.14510867070218406,-0.14510867070218406,-0.14510867070218406,-0.14510867070218406,0.0,0.0,0.0,6.004530157714077,8
2006-08-19,6.170648680987538,5.061240185968886,8.74043923366428,6.170648680987538,6.170648680987538,0.7776451022166513,0.7776451022166513,0.7776451022166513,0.7776451022166513,0.7776451022166513,0.7776451022166513,0.0,0.0,0.0,6.948293783204189,8
2006-08-20,6.191658533558816,3.388594091126296,7.144411402314162,6.191658533558816,6.191658533558816,-1.0490147396711025,-1.0490147396711025,-1.0490147396711025,-1.0490147396711025,-1.0490147396711025,-1.0490147396711025,0.0,0.0,0.0,5.142643793887713,8
2006-08-21,6.212668386125457,5.3133190790005775,9.041411895395987,6.212668386125457,6.212668386125457,0.9185856469965302,0.9185856469965302,0.9185856469965302,0.9185856469965302,0.9185856469965302,0.9185856469965302,0.0,0.0,0.0,7.131254033121987,8
2006-08-22,6.233678238692097,4.145006059853704,7.875793190929007,6.233678238692097,6.233678238692097,-0.19163884300811124,-0.19163884300811124,-0.19163884300811124,-0.19163884300811124,-0.19163884300811124,-0.19163884300811124,0.0,0.0,0.0,6.042039395683985,8
2006-08-23,6.254688091258737,4.326911861042337,8.026657917129363,6.254688091258737,6.254688091258737,-0.12403440517495248,-0.12403440517495248,-0.12403440517495248,-0.12403440517495248,-0.12403440517495248,-0.12403440517495248,0.0,0.0,0.0,6.130653686083785,8
2006-08-24,6.275697943823725,4.268620670790086,8.092652065636134,6.275697943823725,6.275697943823725,-0.1864340906572667,-0.1864340906572667,-0.1864340906572667,-0.1864340906572667,-0.1864340906572667,-0.1864340906572667,0.0,0.0,0.0,6.089263853166458,8
2006-08-25,6.296707796388712,4.085805708914817,8.036838599364346,6.296707796388712,6.296707796388712,-0.14510867070299488,-0.14510867070299488,-0.14510867070299488,-0.14510867070299488,-0.14510867070299488,-0.14510867070299488,0.0,0.0,0.0,6.151599125685717,8
2006-08-26,6.317717648958009,5.236447634175363,9.004587336780117,6.317717648958009,6.317717648958009,0.7776451022168475,0.7776451022168475,0.7776451022168475,0.7776451022168475,0.7776451022168475,0.7776451022168475,0.0,0.0,0.0,7.095362751174856,8
2006-08-27,6.3387275015273055,3.4245854872733665,7.285765501560303,6.3387275015273055,6.3387275015273055,-1.049014739671119,-1.049014739671119,-1.049014739671119,-1.049014739671119,-1.049014739671119,-1.049014739671119,0.0,0.0,0.0,5.289712761856187,8
2006-08-28,6.359737354096604,5.392650387721262,9.291992146386962,6.359737354096604,6.359737354096604,0.9185856469974362,0.9185856469974362,0.9185856469974362,0.9185856469974362,0.9185856469974362,0.9185856469974362,0.0,0.0,0.0,7.27832300109404,8
