date,l_ipn,f,rolling_mean,rolling_std,upper_limit,anomaly,lag_1,lag_3,lag_7,pct_change,rolling_max,rolling_min,momentum,deviation_from_mean,z_score,anomaly_int,consecutive_anomalies,day_of_week,is_weekend,anomaly_isoforest,risk_score
2006-08-03,8,305,940.7142857142857,1118.629923058517,3177.97413183132,False,126.0,2628.0,641.0,1.4206349206349205,2628.0,126.0,179.0,-635.7142857142857,-0.5682972240659956,0,0.0,3,0,0,0.5540627585818285
2006-08-04,8,122,930.1428571428571,1127.1578458777674,3184.458548898392,False,305.0,2500.0,196.0,-0.6,2628.0,122.0,-183.0,-808.1428571428571,-0.7169739827732654,0,0.0,4,0,0,0.4009408939706429
2006-08-05,8,274,933.5714285714286,1124.7781791895466,3183.1277869505216,False,122.0,126.0,250.0,1.2459016393442623,2628.0,122.0,152.0,-659.5714285714286,-0.5864013322010445,0,0.0,5,1,0,0.5167158761064312
2006-08-06,8,122,868.1428571428571,1161.4950751181896,3191.133007379236,False,274.0,305.0,580.0,-0.5547445255474452,2628.0,122.0,-152.0,-746.1428571428571,-0.6423986349171097,0,0.0,6,1,0,0.3635256536078497
2006-08-07,8,526,567.8571428571429,864.4062371692735,2296.66961719569,False,122.0,122.0,2628.0,3.3114754098360653,2500.0,122.0,404.0,-41.85714285714289,-0.04842299901720419,0,0.0,0,0,0,0.8448169021150378
2006-08-08,8,768,320.42857142857144,245.46680504897571,811.3621815265228,False,526.0,274.0,2500.0,0.4600760456273765,768.0,122.0,242.0,447.57142857142856,1.8233480093108667,0,0.0,1,0,0,0.7531908146656474
2006-08-09,8,2892,715.5714285714286,986.8920672398535,2689.3555630511355,True,768.0,122.0,126.0,2.765625,2892.0,122.0,2124.0,2176.4285714285716,2.205335944651235,1,1.0,2,0,0,1.7132738306279323
2006-08-10,8,301,715.0,987.1705357569512,2689.3410715139025,False,2892.0,526.0,305.0,-0.8959197786998617,2892.0,122.0,-2591.0,-414.0,-0.419380421933628,0,1.0,3,0,0,0.6207630923517352
2006-08-11,8,2466,1049.857142857143,1138.4551562785168,3326.7674554141768,False,301.0,768.0,122.0,7.192691029900333,2892.0,122.0,2165.0,1416.142857142857,1.2439162288419934,0,1.0,4,0,0,2.483543437569781
2006-08-12,8,354,1061.2857142857142,1129.7366528363607,3320.7590199584356,False,2466.0,2892.0,274.0,-0.856447688564477,2892.0,122.0,-2112.0,-707.2857142857142,-0.6260624599983994,0,0.0,5,1,0,0.433233783140559
2006-08-13,8,18,1046.4285714285713,1144.7322623133114,3335.8930960551943,False,354.0,301.0,122.0,-0.9491525423728814,2892.0,18.0,-336.0,-1028.4285714285713,-0.8984009591607741,0,0.0,6,1,0,0.5517284712994913
2006-08-14,8,1216,1145.0,1121.9303305761307,3388.8606611522614,False,18.0,2466.0,526.0,66.55555555555556,2892.0,18.0,1198.0,71.0,0.06328378637441988,0,0.0,0,0,0,16.661038214119937
2006-08-15,8,19,1038.0,1197.0776917142844,3432.1553834285687,False,1216.0,354.0,768.0,-0.984375,2892.0,18.0,-1197.0,-1019.0,-0.8512396468004819,0,0.0,1,0,0,0.5440276263801687
2006-08-16,8,14,626.8571428571429,915.2377520934886,2457.3326470441198,False,19.0,18.0,2892.0,-0.26315789473684215,2466.0,14.0,-5.0,-612.8571428571429,-0.6696152281296951,0,0.0,2,0,0,0.3001548035296038
2006-08-17,8,223,615.7142857142857,920.3268829218075,2456.368051557901,False,14.0,1216.0,301.0,14.928571428571429,2466.0,14.0,209.0,-392.71428571428567,-0.4267117355090169,0,0.0,3,0,0,3.8814919645710133
2006-08-18,8,8,264.57142857142856,440.5791102412273,1145.7296490538831,False,223.0,19.0,2466.0,-0.9641255605381166,1216.0,8.0,-215.0,-256.57142857142856,-0.5823504037843413,0,0.0,4,0,0,0.4448540314590486
2006-08-19,8,520,288.2857142857143,450.54955860804466,1189.3848315018035,False,8.0,14.0,354.0,64.0,1216.0,8.0,512.0,231.71428571428572,0.5142925481654727,0,0.0,5,1,0,16.180002391857915
2006-08-20,8,516,359.42857142857144,439.9507007013605,1239.3299728312925,False,520.0,223.0,18.0,-0.007692307692307665,1216.0,8.0,-4.0,156.57142857142856,0.3558840223756556,0,0.0,6,1,0,0.12648248475455637
2006-08-21,8,2046,478.0,727.2933841763348,1932.5867683526697,True,516.0,8.0,1216.0,2.9651162790697674,2046.0,8.0,1530.0,1568.0,2.155938734705231,1,1.0,0,0,0,1.7458576269142725
2006-08-22,8,2447,824.8571428571429,999.8203886317825,2824.497920120708,False,2046.0,520.0,19.0,0.19599217986314765,2447.0,8.0,401.0,1622.142857142857,1.6224342485537404,0,1.0,1,0,0,0.866850031959596
2006-08-23,8,414,882.0,956.234106621734,2794.468213243468,False,2447.0,516.0,14.0,-0.8308132407029015,2447.0,8.0,-2033.0,-468.0,-0.48941989400398156,0,1.0,2,0,0,0.6290002730771189
